[2023-03-19 23:22:05.708] [logger] [info] log x
[2023-03-19 23:22:05.708] [logger] [info] lambda = 0.1607816738996603
[2023-03-19 23:22:05.708] [logger] [info] lambda = -2.4082475563387526
[2023-03-19 23:22:05.708] [logger] [info] lambda = 2.8002570216573757
[2023-03-19 23:22:05.708] [logger] [info] lambda = 0.012625266206256766
[2023-03-19 23:22:05.708] [logger] [info] lambda = -3.2830257406176764
[2023-03-19 23:22:05.708] [logger] [info] lambda = 2.9899591724187657
[2023-03-19 23:22:05.708] [logger] [info] lambda = 0.02651432739112388
[2023-03-19 23:22:05.708] [logger] [info] lambda = -2.7519804013841096
[2023-03-19 23:22:05.708] [logger] [info] lambda = 2.480536899237154
[2023-03-19 23:22:05.708] [logger] [info] lambda = -0.00843600190568402
[2023-03-19 23:22:05.708] [logger] [info] lambda = -2.6854480582082823
[2023-03-19 23:22:05.708] [logger] [info] lambda = 2.4138921148125627
[2023-03-19 23:22:05.708] [logger] [info] lambda = 0.0015230342602075928
[2023-03-19 23:22:05.708] [logger] [info] lambda = -2.561882179303743
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.700233889621841
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.018771675407864424
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.6555052362509493
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.4334883156029323
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.011702877199545596
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.570056350266349
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.6609344233686643
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.0018825688399684336
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.5536127825680732
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.567381547054302
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.005704491193590512
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.872719292741342
[2023-03-19 23:22:05.709] [logger] [info] lambda = 3.031366270435059
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.03095366163676983
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.4617225552094433
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.7882376862349445
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.08753469884813597
[2023-03-19 23:22:05.709] [logger] [info] lambda = -3.1035659914768816
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.746222992157516
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.06847942815382803
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.9382690130319125
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.9834831157637045
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.006071657027220863
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.4587049572957986
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.7502726471821033
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.0014224687374070999
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.4733954887097918
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.5192630153084092
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.004147980094255872
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.526363119526191
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.433991466434443
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.029111348187632367
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.5139363687248233
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.2160182936988018
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.009219040999816075
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.510731369020585
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.6873990839237014
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.011262925170400518
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.1809469934580488
